"mosquito_id" "age_class" "isolate" "oocyst"
1 "12-day-old" "isolate A (40 gam/µl)" 11
2 "12-day-old" "isolate A (40 gam/µl)" 0
3 "12-day-old" "isolate A (40 gam/µl)" 0
4 "12-day-old" "isolate A (40 gam/µl)" 3
5 "12-day-old" "isolate A (40 gam/µl)" 1
6 "12-day-old" "isolate A (40 gam/µl)" 0
7 "12-day-old" "isolate A (40 gam/µl)" 0
8 "12-day-old" "isolate A (40 gam/µl)" 2
9 "12-day-old" "isolate A (40 gam/µl)" 0
10 "12-day-old" "isolate A (40 gam/µl)" 4
11 "12-day-old" "isolate A (40 gam/µl)" 1
12 "12-day-old" "isolate A (40 gam/µl)" 0
13 "12-day-old" "isolate A (40 gam/µl)" 2
14 "12-day-old" "isolate A (40 gam/µl)" 12
15 "12-day-old" "isolate A (40 gam/µl)" 2
16 "12-day-old" "isolate A (40 gam/µl)" 1
17 "12-day-old" "isolate A (40 gam/µl)" 0
18 "12-day-old" "isolate A (40 gam/µl)" 0
19 "12-day-old" "isolate A (40 gam/µl)" 4
20 "12-day-old" "isolate A (40 gam/µl)" 0
21 "12-day-old" "isolate A (40 gam/µl)" 0
22 "12-day-old" "isolate A (40 gam/µl)" 3
23 "12-day-old" "isolate A (40 gam/µl)" 2
24 "12-day-old" "isolate A (40 gam/µl)" 0
25 "12-day-old" "isolate A (40 gam/µl)" 2
26 "12-day-old" "isolate A (40 gam/µl)" 2
27 "12-day-old" "isolate A (40 gam/µl)" 0
28 "12-day-old" "isolate A (40 gam/µl)" 2
29 "12-day-old" "isolate A (40 gam/µl)" 4
30 "12-day-old" "isolate A (40 gam/µl)" 4
31 "12-day-old" "isolate A (40 gam/µl)" 11
32 "12-day-old" "isolate A (40 gam/µl)" 0
33 "12-day-old" "isolate A (40 gam/µl)" 10
34 "12-day-old" "isolate A (40 gam/µl)" 3
35 "12-day-old" "isolate A (40 gam/µl)" 0
36 "12-day-old" "isolate A (40 gam/µl)" 12
37 "12-day-old" "isolate A (40 gam/µl)" 0
38 "12-day-old" "isolate A (40 gam/µl)" 0
39 "12-day-old" "isolate A (40 gam/µl)" 3
40 "12-day-old" "isolate A (40 gam/µl)" 7
41 "12-day-old" "isolate A (40 gam/µl)" 4
42 "12-day-old" "isolate A (40 gam/µl)" 0
43 "12-day-old" "isolate A (40 gam/µl)" 0
44 "12-day-old" "isolate A (40 gam/µl)" 9
45 "12-day-old" "isolate A (40 gam/µl)" 0
46 "12-day-old" "isolate A (40 gam/µl)" 0
47 "12-day-old" "isolate A (40 gam/µl)" 1
48 "12-day-old" "isolate A (40 gam/µl)" 1
49 "12-day-old" "isolate A (40 gam/µl)" 0
50 "12-day-old" "isolate A (40 gam/µl)" 1
51 "12-day-old" "isolate A (40 gam/µl)" 0
52 "8-day-old" "isolate A (40 gam/µl)" 1
53 "8-day-old" "isolate A (40 gam/µl)" 4
54 "8-day-old" "isolate A (40 gam/µl)" 7
55 "8-day-old" "isolate A (40 gam/µl)" 4
56 "8-day-old" "isolate A (40 gam/µl)" 7
57 "8-day-old" "isolate A (40 gam/µl)" 3
58 "8-day-old" "isolate A (40 gam/µl)" 0
59 "8-day-old" "isolate A (40 gam/µl)" 0
60 "8-day-old" "isolate A (40 gam/µl)" 7
61 "8-day-old" "isolate A (40 gam/µl)" 1
62 "8-day-old" "isolate A (40 gam/µl)" 1
63 "8-day-old" "isolate A (40 gam/µl)" 7
64 "8-day-old" "isolate A (40 gam/µl)" 4
65 "8-day-old" "isolate A (40 gam/µl)" 9
66 "8-day-old" "isolate A (40 gam/µl)" 1
67 "8-day-old" "isolate A (40 gam/µl)" 3
68 "8-day-old" "isolate A (40 gam/µl)" 1
69 "8-day-old" "isolate A (40 gam/µl)" 9
70 "8-day-old" "isolate A (40 gam/µl)" 2
71 "8-day-old" "isolate A (40 gam/µl)" 6
72 "8-day-old" "isolate A (40 gam/µl)" 5
73 "8-day-old" "isolate A (40 gam/µl)" 7
74 "8-day-old" "isolate A (40 gam/µl)" 4
75 "8-day-old" "isolate A (40 gam/µl)" 1
76 "8-day-old" "isolate A (40 gam/µl)" 3
77 "8-day-old" "isolate A (40 gam/µl)" 2
78 "8-day-old" "isolate A (40 gam/µl)" 4
79 "8-day-old" "isolate A (40 gam/µl)" 5
80 "8-day-old" "isolate A (40 gam/µl)" 0
81 "8-day-old" "isolate A (40 gam/µl)" 1
82 "8-day-old" "isolate A (40 gam/µl)" 0
83 "8-day-old" "isolate A (40 gam/µl)" 6
84 "8-day-old" "isolate A (40 gam/µl)" 7
85 "8-day-old" "isolate A (40 gam/µl)" 16
86 "8-day-old" "isolate A (40 gam/µl)" 1
87 "8-day-old" "isolate A (40 gam/µl)" 8
88 "8-day-old" "isolate A (40 gam/µl)" 3
89 "8-day-old" "isolate A (40 gam/µl)" 2
90 "8-day-old" "isolate A (40 gam/µl)" 6
91 "8-day-old" "isolate A (40 gam/µl)" 9
92 "8-day-old" "isolate A (40 gam/µl)" 0
93 "8-day-old" "isolate A (40 gam/µl)" 2
94 "8-day-old" "isolate A (40 gam/µl)" 2
95 "8-day-old" "isolate A (40 gam/µl)" 1
96 "8-day-old" "isolate A (40 gam/µl)" 2
97 "8-day-old" "isolate A (40 gam/µl)" 10
98 "8-day-old" "isolate A (40 gam/µl)" 8
99 "8-day-old" "isolate A (40 gam/µl)" 5
100 "8-day-old" "isolate A (40 gam/µl)" 5
101 "8-day-old" "isolate A (40 gam/µl)" 3
102 "8-day-old" "isolate A (40 gam/µl)" 5
103 "4-day-old" "isolate A (40 gam/µl)" 5
104 "4-day-old" "isolate A (40 gam/µl)" 2
105 "4-day-old" "isolate A (40 gam/µl)" 5
106 "4-day-old" "isolate A (40 gam/µl)" 0
107 "4-day-old" "isolate A (40 gam/µl)" 2
108 "4-day-old" "isolate A (40 gam/µl)" 4
109 "4-day-old" "isolate A (40 gam/µl)" 3
110 "4-day-old" "isolate A (40 gam/µl)" 9
111 "4-day-old" "isolate A (40 gam/µl)" 6
112 "4-day-old" "isolate A (40 gam/µl)" 5
113 "4-day-old" "isolate A (40 gam/µl)" 7
114 "4-day-old" "isolate A (40 gam/µl)" 12
115 "4-day-old" "isolate A (40 gam/µl)" 12
116 "4-day-old" "isolate A (40 gam/µl)" 4
117 "4-day-old" "isolate A (40 gam/µl)" 0
118 "4-day-old" "isolate A (40 gam/µl)" 1
119 "4-day-old" "isolate A (40 gam/µl)" 3
120 "4-day-old" "isolate A (40 gam/µl)" 13
121 "4-day-old" "isolate A (40 gam/µl)" 4
122 "4-day-old" "isolate A (40 gam/µl)" 5
123 "4-day-old" "isolate A (40 gam/µl)" 7
124 "4-day-old" "isolate A (40 gam/µl)" 8
125 "4-day-old" "isolate A (40 gam/µl)" 3
126 "4-day-old" "isolate A (40 gam/µl)" 3
127 "4-day-old" "isolate A (40 gam/µl)" 5
128 "4-day-old" "isolate A (40 gam/µl)" 3
129 "4-day-old" "isolate A (40 gam/µl)" 8
130 "4-day-old" "isolate A (40 gam/µl)" 0
131 "4-day-old" "isolate A (40 gam/µl)" 18
132 "4-day-old" "isolate A (40 gam/µl)" 13
133 "4-day-old" "isolate A (40 gam/µl)" 16
134 "4-day-old" "isolate A (40 gam/µl)" 6
135 "4-day-old" "isolate A (40 gam/µl)" 2
136 "4-day-old" "isolate A (40 gam/µl)" 0
137 "4-day-old" "isolate A (40 gam/µl)" 6
138 "4-day-old" "isolate A (40 gam/µl)" 12
139 "4-day-old" "isolate A (40 gam/µl)" 20
140 "4-day-old" "isolate A (40 gam/µl)" 11
141 "4-day-old" "isolate A (40 gam/µl)" 8
142 "4-day-old" "isolate A (40 gam/µl)" 7
143 "4-day-old" "isolate A (40 gam/µl)" 4
144 "4-day-old" "isolate A (40 gam/µl)" 5
145 "4-day-old" "isolate A (40 gam/µl)" 0
146 "4-day-old" "isolate A (40 gam/µl)" 0
147 "4-day-old" "isolate A (40 gam/µl)" 3
