"mosquito_id" "age_class" "isolate" "Ct" "positive"
1 "4-day-old" "isolate A (40 gam/µl)" 16.5 1
2 "8-day-old" "isolate A (40 gam/µl)" 17.48 1
3 "8-day-old" "isolate A (40 gam/µl)" 17.64 1
4 "8-day-old" "isolate D (40 gam/µl)" 17.86 1
5 "4-day-old" "isolate D (40 gam/µl)" 17.99 1
6 "4-day-old" "isolate B (36 gam/µl)" 18.07 1
7 "4-day-old" "isolate D (40 gam/µl)" 18.3 1
8 "4-day-old" "isolate D (40 gam/µl)" 18.4 1
9 "4-day-old" "isolate D (40 gam/µl)" 18.45 1
10 "4-day-old" "isolate B (36 gam/µl)" 18.45 1
11 "8-day-old" "isolate D (40 gam/µl)" 18.78 1
12 "4-day-old" "isolate B (36 gam/µl)" 18.9 1
13 "8-day-old" "isolate A (40 gam/µl)" 18.92 1
14 "8-day-old" "isolate A (40 gam/µl)" 19.13 1
15 "8-day-old" "isolate A (40 gam/µl)" 19.3 1
16 "4-day-old" "isolate A (40 gam/µl)" 19.3 1
17 "4-day-old" "isolate C (80 gam/µl)" 19.32 1
18 "4-day-old" "isolate A (40 gam/µl)" 19.4 1
19 "4-day-old" "isolate C (80 gam/µl)" 19.43 1
20 "4-day-old" "isolate D (40 gam/µl)" 19.45 1
21 "12-day-old" "isolate A (40 gam/µl)" 19.46 1
22 "4-day-old" "isolate C (80 gam/µl)" 19.47 1
23 "8-day-old" "isolate A (40 gam/µl)" 19.48 1
24 "8-day-old" "isolate D (40 gam/µl)" 19.72 1
25 "4-day-old" "isolate C (80 gam/µl)" 19.74 1
26 "8-day-old" "isolate A (40 gam/µl)" 19.89 1
27 "4-day-old" "isolate B (36 gam/µl)" 20 1
28 "4-day-old" "isolate D (40 gam/µl)" 20.1 1
29 "4-day-old" "isolate B (36 gam/µl)" 20.12 1
30 "8-day-old" "isolate B (36 gam/µl)" 20.23 1
31 "4-day-old" "isolate C (80 gam/µl)" 20.24 1
32 "8-day-old" "isolate B (36 gam/µl)" 20.25 1
33 "8-day-old" "isolate A (40 gam/µl)" 20.31 1
34 "4-day-old" "isolate C (80 gam/µl)" 20.32 1
35 "4-day-old" "isolate C (80 gam/µl)" 20.34 1
36 "8-day-old" "isolate A (40 gam/µl)" 20.44 1
37 "8-day-old" "isolate A (40 gam/µl)" 20.51 1
38 "4-day-old" "isolate C (80 gam/µl)" 20.52 1
39 "4-day-old" "isolate C (80 gam/µl)" 20.64 1
40 "8-day-old" "isolate B (36 gam/µl)" 20.74 1
41 "4-day-old" "isolate B (36 gam/µl)" 20.75 1
42 "8-day-old" "isolate A (40 gam/µl)" 20.79 1
43 "4-day-old" "isolate B (36 gam/µl)" 20.79 1
44 "4-day-old" "isolate C (80 gam/µl)" 20.97 1
45 "8-day-old" "isolate B (36 gam/µl)" 21.01 1
46 "8-day-old" "isolate D (40 gam/µl)" 21.17 1
47 "4-day-old" "isolate B (36 gam/µl)" 21.21 1
48 "8-day-old" "isolate B (36 gam/µl)" 21.24 1
49 "8-day-old" "isolate A (40 gam/µl)" 21.31 1
50 "4-day-old" "isolate D (40 gam/µl)" 21.32 1
51 "4-day-old" "isolate B (36 gam/µl)" 21.36 1
52 "4-day-old" "isolate B (36 gam/µl)" 21.4 1
53 "4-day-old" "isolate C (80 gam/µl)" 21.4 1
54 "8-day-old" "isolate A (40 gam/µl)" 21.47 1
55 "4-day-old" "isolate C (80 gam/µl)" 21.52 1
56 "8-day-old" "isolate B (36 gam/µl)" 21.57 1
57 "8-day-old" "isolate A (40 gam/µl)" 21.59 1
58 "8-day-old" "isolate A (40 gam/µl)" 21.64 1
59 "12-day-old" "isolate A (40 gam/µl)" 21.73 1
60 "4-day-old" "isolate C (80 gam/µl)" 21.76 1
61 "12-day-old" "isolate A (40 gam/µl)" 21.85 1
62 "4-day-old" "isolate C (80 gam/µl)" 21.92 1
63 "4-day-old" "isolate C (80 gam/µl)" 22 1
64 "8-day-old" "isolate D (40 gam/µl)" 22.03 1
65 "8-day-old" "isolate A (40 gam/µl)" 22.04 1
66 "12-day-old" "isolate C (80 gam/µl)" 22.04 1
67 "4-day-old" "isolate B (36 gam/µl)" 22.05 1
68 "8-day-old" "isolate B (36 gam/µl)" 22.06 1
69 "8-day-old" "isolate D (40 gam/µl)" 22.11 1
70 "4-day-old" "isolate C (80 gam/µl)" 22.12 1
71 "8-day-old" "isolate A (40 gam/µl)" 22.15 1
72 "8-day-old" "isolate C (80 gam/µl)" 22.15 1
