"mosquito_id" "cup" "age_class" "isolate" "exposure" "infection_status" "daysPI" "censor"
1 "G3Bno2" "4-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 1 1
2 "G1Cno2" "12-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 1 1
3 "G1Dno2" "12-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 1 1
4 "G1Dyes1" "12-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-uninfected" 1 1
5 "G2Ayes1" "8-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-infected" 1 1
6 "G2Byes1" "8-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 1 1
7 "G1Byes2" "12-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 1 1
8 "G3Byes2" "4-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-infected" 1 1
9 "G2Cyes1" "8-day-old" "isolate C (80 gam/µl)" "yes" "Exposed-infected" 1 1
10 "G2Dyes1" "8-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-infected" 1 1
11 "G1Bno2" "12-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 2 1
12 "G1Cno1" "12-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 2 1
13 "G1Dno1" "12-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 2 1
14 "G1Ayes1" "12-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-uninfected" 2 1
15 "G1Byes1" "12-day-old" "isolate B (36 gam/µl)" "yes" "Exposed-uninfected" 2 1
16 "G1Dyes1" "12-day-old" "isolate D (40 gam/µl)" "yes" "Exposed-uninfected" 2 1
17 "G1Bno1" "12-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 3 1
18 "G3Bno2" "4-day-old" "isolate B (36 gam/µl)" "no" "Uninfected control" 3 1
19 "G1Cno1" "12-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 3 1
20 "G1Cno1" "12-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 3 1
21 "G2Cno2" "8-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 3 1
22 "G2Cno2" "8-day-old" "isolate C (80 gam/µl)" "no" "Uninfected control" 3 1
23 "G1Dno1" "12-day-old" "isolate D (40 gam/µl)" "no" "Uninfected control" 3 1
24 "G1Ayes2" "12-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-uninfected" 3 1
25 "G3Ayes1" "4-day-old" "isolate A (40 gam/µl)" "yes" "Exposed-uninfected" 3 1
