"mosquito_id" "age_class" "isolate" "dpi" "oocyst" "broken_oocyst" "spz"
1 "4-day-old" "isolate E (64 gam/µl)" 6 9 NA NA
2 "4-day-old" "isolate E (64 gam/µl)" 6 16 NA NA
3 "4-day-old" "isolate E (64 gam/µl)" 6 0 NA NA
4 "4-day-old" "isolate E (64 gam/µl)" 6 3 NA NA
5 "4-day-old" "isolate E (64 gam/µl)" 6 18 NA NA
6 "4-day-old" "isolate E (64 gam/µl)" 6 3 NA NA
7 "4-day-old" "isolate E (64 gam/µl)" 6 0 NA NA
8 "4-day-old" "isolate E (64 gam/µl)" 6 0 NA NA
9 "4-day-old" "isolate E (64 gam/µl)" 6 4 NA NA
10 "4-day-old" "isolate E (64 gam/µl)" 6 3 NA NA
11 "4-day-old" "isolate E (64 gam/µl)" 6 0 NA NA
12 "4-day-old" "isolate E (64 gam/µl)" 6 4 NA NA
13 "4-day-old" "isolate E (64 gam/µl)" 6 1 NA NA
14 "4-day-old" "isolate E (64 gam/µl)" 6 1 NA NA
15 "4-day-old" "isolate E (64 gam/µl)" 6 1 NA NA
16 "4-day-old" "isolate E (64 gam/µl)" 6 7 NA NA
17 "4-day-old" "isolate E (64 gam/µl)" 6 0 NA NA
18 "4-day-old" "isolate E (64 gam/µl)" 6 5 NA NA
19 "4-day-old" "isolate E (64 gam/µl)" 6 1 NA NA
20 "4-day-old" "isolate E (64 gam/µl)" 6 5 NA NA
21 "4-day-old" "isolate E (64 gam/µl)" 6 6 NA NA
22 "4-day-old" "isolate E (64 gam/µl)" 6 1 NA NA
23 "4-day-old" "isolate E (64 gam/µl)" 6 1 NA NA
24 "4-day-old" "isolate E (64 gam/µl)" 6 2 NA NA
25 "4-day-old" "isolate E (64 gam/µl)" 6 1 NA NA
26 "4-day-old" "isolate E (64 gam/µl)" 6 13 NA NA
27 "4-day-old" "isolate E (64 gam/µl)" 6 2 NA NA
28 "4-day-old" "isolate E (64 gam/µl)" 6 1 NA NA
29 "4-day-old" "isolate E (64 gam/µl)" 6 2 NA NA
30 "4-day-old" "isolate E (64 gam/µl)" 6 0 NA NA
31 "4-day-old" "isolate E (64 gam/µl)" 6 2 NA NA
32 "4-day-old" "isolate E (64 gam/µl)" 6 0 NA NA
33 "4-day-old" "isolate F (72 gam/µl)" 6 1 NA NA
34 "4-day-old" "isolate F (72 gam/µl)" 6 0 NA NA
35 "4-day-old" "isolate F (72 gam/µl)" 6 23 NA NA
36 "4-day-old" "isolate F (72 gam/µl)" 6 1 NA NA
37 "4-day-old" "isolate F (72 gam/µl)" 6 0 NA NA
38 "4-day-old" "isolate F (72 gam/µl)" 6 1 NA NA
39 "4-day-old" "isolate F (72 gam/µl)" 6 4 NA NA
40 "4-day-old" "isolate F (72 gam/µl)" 6 2 NA NA
41 "4-day-old" "isolate F (72 gam/µl)" 6 4 NA NA
42 "4-day-old" "isolate F (72 gam/µl)" 6 0 NA NA
43 "4-day-old" "isolate F (72 gam/µl)" 6 5 NA NA
44 "4-day-old" "isolate F (72 gam/µl)" 6 7 NA NA
45 "4-day-old" "isolate F (72 gam/µl)" 6 27 NA NA
46 "4-day-old" "isolate F (72 gam/µl)" 6 12 NA NA
47 "4-day-old" "isolate F (72 gam/µl)" 6 9 NA NA
48 "4-day-old" "isolate F (72 gam/µl)" 6 0 NA NA
49 "4-day-old" "isolate F (72 gam/µl)" 6 8 NA NA
50 "4-day-old" "isolate F (72 gam/µl)" 6 4 NA NA
51 "4-day-old" "isolate F (72 gam/µl)" 6 10 NA NA
52 "4-day-old" "isolate F (72 gam/µl)" 6 1 NA NA
53 "4-day-old" "isolate F (72 gam/µl)" 6 2 NA NA
54 "4-day-old" "isolate F (72 gam/µl)" 6 0 NA NA
55 "4-day-old" "isolate F (72 gam/µl)" 6 0 NA NA
56 "4-day-old" "isolate F (72 gam/µl)" 6 9 NA NA
57 "4-day-old" "isolate F (72 gam/µl)" 6 2 NA NA
58 "4-day-old" "isolate F (72 gam/µl)" 6 1 NA NA
59 "4-day-old" "isolate F (72 gam/µl)" 6 7 NA NA
60 "4-day-old" "isolate F (72 gam/µl)" 6 0 NA NA
61 "4-day-old" "isolate F (72 gam/µl)" 6 7 NA NA
62 "4-day-old" "isolate F (72 gam/µl)" 6 3 NA NA
63 "12-day-old" "isolate E (64 gam/µl)" 6 0 NA NA
64 "12-day-old" "isolate E (64 gam/µl)" 6 1 NA NA
65 "12-day-old" "isolate E (64 gam/µl)" 6 3 NA NA
66 "12-day-old" "isolate E (64 gam/µl)" 6 1 NA NA
67 "12-day-old" "isolate E (64 gam/µl)" 6 3 NA NA
68 "12-day-old" "isolate E (64 gam/µl)" 6 1 NA NA
69 "12-day-old" "isolate E (64 gam/µl)" 6 0 NA NA
70 "12-day-old" "isolate E (64 gam/µl)" 6 0 NA NA
71 "12-day-old" "isolate E (64 gam/µl)" 6 8 NA NA
72 "12-day-old" "isolate E (64 gam/µl)" 6 0 NA NA
73 "12-day-old" "isolate E (64 gam/µl)" 6 5 NA NA
74 "12-day-old" "isolate E (64 gam/µl)" 6 1 NA NA
75 "12-day-old" "isolate E (64 gam/µl)" 6 0 NA NA
76 "12-day-old" "isolate E (64 gam/µl)" 6 0 NA NA
77 "12-day-old" "isolate E (64 gam/µl)" 6 6 NA NA
78 "12-day-old" "isolate E (64 gam/µl)" 6 0 NA NA
79 "12-day-old" "isolate E (64 gam/µl)" 6 1 NA NA
80 "12-day-old" "isolate E (64 gam/µl)" 6 2 NA NA
81 "12-day-old" "isolate E (64 gam/µl)" 6 0 NA NA
82 "12-day-old" "isolate E (64 gam/µl)" 6 0 NA NA
83 "12-day-old" "isolate E (64 gam/µl)" 6 0 NA NA
84 "12-day-old" "isolate E (64 gam/µl)" 6 0 NA NA
85 "12-day-old" "isolate E (64 gam/µl)" 6 0 NA NA
86 "12-day-old" "isolate E (64 gam/µl)" 6 0 NA NA
87 "12-day-old" "isolate E (64 gam/µl)" 6 5 NA NA
