"scenario" "age_class" "vectorial_capacity"
"Scenario 1" "12-day-old" 2.71391097760043e-05
"Scenario 1" "12-day-old" 4.60389740698842
"Scenario 1" "12-day-old" 19.5877982948882
"Scenario 1" "12-day-old" 26.4115386085912
"Scenario 1" "12-day-old" 33.9215460001478
"Scenario 1" "12-day-old" 33.9215460001478
"Scenario 1" "12-day-old" 33.9215460001478
"Scenario 1" "12-day-old" 33.9215460001478
"Scenario 1" "12-day-old" 42.0099301327272
"Scenario 1" "12-day-old" 42.0099301327272
"Scenario 1" "12-day-old" 42.0099301327272
"Scenario 1" "12-day-old" 50.5875388332521
"Scenario 1" "12-day-old" 50.5875388332521
"Scenario 1" "12-day-old" 59.5810594505555
"Scenario 1" "12-day-old" 59.5810594505555
"Scenario 1" "12-day-old" 78.5851038081934
"Scenario 1" "12-day-old" 78.5851038081934
"Scenario 1" "12-day-old" 78.5851038081934
"Scenario 1" "12-day-old" 78.5851038081934
"Scenario 1" "12-day-old" 78.5851038081934
"Scenario 1" "12-day-old" 78.5851038081934
"Scenario 1" "12-day-old" 88.5045547654089
"Scenario 1" "12-day-old" 88.5045547654089
"Scenario 1" "12-day-old" 88.5045547654089
"Scenario 1" "12-day-old" 88.5045547654089
"Scenario 1" "12-day-old" 88.5045547654089
"Scenario 1" "12-day-old" 88.5045547654089
"Scenario 1" "12-day-old" 88.5045547654089
"Scenario 1" "12-day-old" 88.5045547654089
"Scenario 1" "12-day-old" 98.6541022269069
"Scenario 1" "12-day-old" 109.004875237371
"Scenario 1" "12-day-old" 109.004875237371
"Scenario 1" "12-day-old" 109.004875237371
"Scenario 1" "12-day-old" 119.532521933708
"Scenario 1" "12-day-old" 119.532521933708
"Scenario 1" "12-day-old" 119.532521933708
"Scenario 1" "12-day-old" 119.532521933708
"Scenario 1" "12-day-old" 119.532521933708
"Scenario 1" "12-day-old" 130.216385204286
"Scenario 1" "12-day-old" 130.216385204286
"Scenario 1" "12-day-old" 130.216385204286
"Scenario 1" "12-day-old" 130.216385204286
"Scenario 1" "12-day-old" 130.216385204286
"Scenario 1" "12-day-old" 130.216385204286
"Scenario 1" "12-day-old" 141.038845367649
"Scenario 1" "12-day-old" 141.038845367649
"Scenario 1" "12-day-old" 141.038845367649
"Scenario 1" "12-day-old" 141.038845367649
"Scenario 1" "12-day-old" 141.038845367649
"Scenario 1" "12-day-old" 151.984793846237
"Scenario 1" "12-day-old" 151.984793846237
"Scenario 1" "12-day-old" 151.984793846237
"Scenario 1" "12-day-old" 151.984793846237
"Scenario 1" "12-day-old" 151.984793846237
"Scenario 1" "12-day-old" 163.041209670176
"Scenario 1" "12-day-old" 163.041209670176
"Scenario 1" "12-day-old" 163.041209670176
"Scenario 1" "12-day-old" 174.196816928535
"Scenario 1" "12-day-old" 185.441806194827
"Scenario 1" "12-day-old" 185.441806194827
"Scenario 1" "12-day-old" 185.441806194827
"Scenario 1" "12-day-old" 185.441806194827
"Scenario 1" "12-day-old" 185.441806194827
"Scenario 1" "12-day-old" 185.441806194827
"Scenario 1" "12-day-old" 196.767606747252
"Scenario 1" "12-day-old" 196.767606747252
"Scenario 1" "12-day-old" 208.166699321651
"Scenario 1" "12-day-old" 219.632461376415
"Scenario 1" "12-day-old" 219.632461376415
"Scenario 1" "12-day-old" 219.632461376415
"Scenario 1" "12-day-old" 219.632461376415
"Scenario 1" "12-day-old" 219.632461376415
"Scenario 1" "12-day-old" 219.632461376415
"Scenario 1" "12-day-old" 219.632461376415
"Scenario 1" "12-day-old" 219.632461376415
"Scenario 1" "12-day-old" 219.632461376415
"Scenario 1" "12-day-old" 231.159038572578
"Scenario 1" "12-day-old" 231.159038572578
"Scenario 1" "12-day-old" 231.159038572578
"Scenario 1" "12-day-old" 242.741237502073
"Scenario 1" "12-day-old" 242.741237502073
"Scenario 1" "12-day-old" 254.374435726549
"Scenario 1" "12-day-old" 266.054505989437
"Scenario 1" "12-day-old" 266.054505989437
"Scenario 1" "12-day-old" 289.540854390695
"Scenario 1" "12-day-old" 289.540854390695
"Scenario 1" "12-day-old" 360.807562682152
"Scenario 1" "12-day-old" 1.37981675376702e-05
"Scenario 1" "12-day-old" 2.34073071195722
"Scenario 1" "12-day-old" 9.9589015556409
"Scenario 1" "12-day-old" 13.428253087771
"Scenario 1" "12-day-old" 17.246519090345
"Scenario 1" "12-day-old" 17.246519090345
"Scenario 1" "12-day-old" 17.246519090345
"Scenario 1" "12-day-old" 17.246519090345
"Scenario 1" "12-day-old" 21.3588455554172
"Scenario 1" "12-day-old" 21.3588455554172
"Scenario 1" "12-day-old" 21.3588455554172
"Scenario 1" "12-day-old" 25.7199054022316
"Scenario 1" "12-day-old" 25.7199054022316
"Scenario 1" "12-day-old" 30.292424738911
"Scenario 1" "12-day-old" 30.292424738911
"Scenario 1" "12-day-old" 39.9545319378676
"Scenario 1" "12-day-old" 39.9545319378676
"Scenario 1" "12-day-old" 39.9545319378676
"Scenario 1" "12-day-old" 39.9545319378676
"Scenario 1" "12-day-old" 39.9545319378676
"Scenario 1" "12-day-old" 39.9545319378676
"Scenario 1" "12-day-old" 44.9978162356591
"Scenario 1" "12-day-old" 44.9978162356591
"Scenario 1" "12-day-old" 44.9978162356591
"Scenario 1" "12-day-old" 44.9978162356591
"Scenario 1" "12-day-old" 44.9978162356591
"Scenario 1" "12-day-old" 44.9978162356591
"Scenario 1" "12-day-old" 44.9978162356591
"Scenario 1" "12-day-old" 44.9978162356591
"Scenario 1" "12-day-old" 50.1580870574054
"Scenario 1" "12-day-old" 55.4206657241922
"Scenario 1" "12-day-old" 55.4206657241922
"Scenario 1" "12-day-old" 55.4206657241922
"Scenario 1" "12-day-old" 60.7731711708479
"Scenario 1" "12-day-old" 60.7731711708479
"Scenario 1" "12-day-old" 60.7731711708479
"Scenario 1" "12-day-old" 60.7731711708479
"Scenario 1" "12-day-old" 60.7731711708479
"Scenario 1" "12-day-old" 66.2051008315376
"Scenario 1" "12-day-old" 66.2051008315376
"Scenario 1" "12-day-old" 66.2051008315376
"Scenario 1" "12-day-old" 66.2051008315376
"Scenario 1" "12-day-old" 66.2051008315376
"Scenario 1" "12-day-old" 66.2051008315376
